longitude,latitude,date,index,LAI_true
-87.80394098,32.54174066,18/03/2023,0,2.613032013
-87.80394098,32.54174066,23/03/2023,1,2.972824559
-87.80394098,32.54174066,22/04/2023,2,5.687263564
-87.80394098,32.54174066,12/05/2023,3,6.624827644
-87.80394098,32.54174066,21/07/2023,4,4.102705274
-87.80394098,32.54174066,05/08/2023,5,5.967175457
-87.80394098,32.54174066,10/08/2023,6,3.951182778
-87.80394098,32.54174066,25/08/2023,7,4.976002081
-87.80394098,32.54174066,09/10/2023,8,4.521259837
-87.80394098,32.54174066,24/10/2023,9,3.446993885
