longitude,latitude,date,index,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,LAI
-87.80394098,32.54174066,18/03/2023,0,0.0588,0.0761,0.0535,0.0998,0.1602,0.1756,0.2056,0.2,0.151,0.0878,2.613032013
-87.80394098,32.54174066,23/03/2023,1,0.0317,0.0554,0.0385,0.1,0.1695,0.2019,0.2022,0.2195,0.2005,0.1144,2.972824559
-87.80394098,32.54174066,22/04/2023,2,0.0266,0.0462,0.0176,0.0728,0.2952,0.38,0.4048,0.3935,0.1515,0.0634,5.687263564
-87.80394098,32.54174066,12/05/2023,3,0.0263,0.0437,0.0246,0.0731,0.296,0.3994,0.3876,0.4204,0.1706,0.0718,6.624827644
-87.80394098,32.54174066,21/07/2023,4,0.0292,0.039,0.0271,0.0671,0.231,0.3098,0.3013,0.3458,0.1779,0.0768,4.102705274
-87.80394098,32.54174066,05/08/2023,5,0.0282,0.0436,0.0248,0.0699,0.2208,0.2724,0.2722,0.3072,0.1638,0.0662,5.967175457
-87.80394098,32.54174066,10/08/2023,6,0.0341,0.042,0.0266,0.0702,0.2363,0.3045,0.2864,0.3319,0.1712,0.0704,3.951182778
-87.80394098,32.54174066,25/08/2023,7,0.0336,0.0402,0.027,0.0686,0.2033,0.26,0.2524,0.3101,0.1685,0.0692,4.976002081
-87.80394098,32.54174066,09/10/2023,8,0.0155,0.0236,0.0172,0.0523,0.1411,0.1689,0.1818,0.2031,0.1452,0.0629,4.521259837
-87.80394098,32.54174066,24/10/2023,9,0.0124,0.024,0.0217,0.0585,0.1147,0.1447,0.155,0.1782,0.1485,0.0667,3.446993885
